id,availability_365,latitude,longitude
20585788,5,51.53732752,-0.003244433
20585857,160,51.51571574,-0.061266851
20585931,88,51.55693187,-0.063217561
20585979,256,51.48024365,-0.048357177
20586120,135,51.5539163,-0.300248023
20586258,365,51.42948926,-0.115563897
20586284,37,51.46285768,-0.231787253
20586345,324,51.55251053,-0.29964416
20586527,286,51.55445146,-0.298019353
20586662,324,51.55315682,-0.29879126
20586758,302,51.55416417,-0.2994162
20586921,333,51.55320071,-0.299693148
20586972,365,51.54112231,-0.194632204
20586975,84,51.47301417,-0.182042253
20586983,29,51.55452968,-0.130418115
20587076,360,51.5425167,-0.070615263
20587161,0,51.46119525,-0.292561527
20587385,0,51.55448983,-0.044711745
20587445,84,51.5182341,-0.148161444
20587456,90,51.51242174,-0.145462418
20587790,177,51.4639762,0.099364785
20587805,180,51.61809111,-0.263098186
20588132,21,51.4974192,-0.072123371
20588925,313,51.51251672,-0.188288392
20589137,18,51.47736435,-0.171904985
20589270,15,51.50575596,-0.026884705
20589772,163,51.5962038,-0.233454486
20589952,363,51.47289393,-0.184275454
20591378,362,51.46469616,-0.010171545
20592857,174,51.53397954,-0.110520256
20593711,75,51.56640791,-0.106250716
20593748,34,51.52794094,-0.11532277
20593993,357,51.4627603,-0.364596592
20594096,155,51.5291262,-0.076224389
20594108,338,51.46220376,-0.363800879
20594262,1,51.59066895,-0.086277804
20594379,65,51.52409058,-0.077914823
20594596,75,51.57131509,-0.137550838
20594689,298,51.48910414,-0.220658811
20594750,35,51.43541574,-0.25430427
20594928,153,51.51726903,-0.221476406
20595015,0,51.52772977,-0.195927274
20595167,357,51.47301913,-0.181662234
20595481,293,51.49025485,-0.084777281
20595663,296,51.50806283,-0.052446518
20595725,0,51.52614411,-0.19617886
20595874,43,51.52796366,-0.143101058
20595927,140,51.52420289,-0.139525458
20596017,358,51.36644468,-0.200559664
20596125,338,51.49616077,-0.18062946
20596150,365,51.46939299,-0.155379224
20596152,188,51.56052752,-0.073477499
20596237,35,51.50149411,-0.319387
20596405,42,51.4636705,-0.118678108
20596489,48,51.54297739,-0.07138394
20596493,0,51.54671505,-0.116177691
20596496,69,51.46196296,-0.002921627
20596539,339,51.53011301,-0.114698933
20596544,0,51.46919983,-0.166317987
20596557,336,51.52885909,-0.115091145
