id,latitude,longitude,price,availability_30,availability_60,availability_90,availability_365
13649949,51.44293,-0.41374,$20.00 ,0,0,0,0
13610833,51.54429,-0.13275,$320.00 ,28,58,88,88
13650094,51.41559,-0.23555,$250.00 ,29,59,89,179
13650368,51.51276,0.00061,$70.00 ,0,0,0,0
13563023,51.52987,-0.08872,$37.00 ,0,0,0,0
13611154,51.50403,-0.24233,$53.00 ,9,39,69,344
13567897,51.5209,-0.06105,$67.00 ,0,0,19,66
13650403,51.40215,0.00783,$35.00 ,0,0,11,11
13650493,51.57182,-0.12396,$40.00 ,0,0,10,10
13612902,51.45208,-0.15025,$104.00 ,0,0,0,0
13568268,51.44882,-0.00365,$27.00 ,0,0,0,0
13568765,51.54139,-0.1972,$120.00 ,0,0,0,0
13612994,51.56662,-0.40196,$25.00 ,0,0,0,0
13613368,51.44381,-0.22157,$349.00 ,0,0,0,0
13613703,51.47653,-0.17149,$56.00 ,0,0,0,0
13569601,51.45217,-0.13867,$280.00 ,30,60,90,365
13569822,51.53806,-0.07607,$110.00 ,0,0,0,0
13650591,51.54991,-0.15678,$45.00 ,14,36,46,46
13651605,51.51763,-0.46523,$106.00 ,16,46,76,351
13651650,51.4722,-0.14995,$120.00 ,0,0,0,0
13613808,51.47436,-0.18529,$156.00 ,12,42,72,72
13651715,51.55681,-0.0899,$63.00 ,0,0,0,0
13570398,51.53266,-0.12772,$100.00 ,0,0,0,0
13614606,51.56326,0.00868,$15.00 ,0,0,0,0
13571031,51.52456,-0.19664,$45.00 ,0,0,0,0
13651780,51.51979,-0.46364,$129.00 ,10,40,70,345
13651853,51.51804,-0.4631,$135.00 ,14,44,74,349
13652979,51.55084,-0.07512,$41.00 ,0,0,0,0
13615218,51.47462,-0.10949,$89.00 ,0,0,0,0
13653081,51.51638,-0.06224,$18.00 ,0,0,0,0
13653451,51.49083,-0.04443,$400.00 ,0,0,0,0
13654149,51.48867,-0.20287,$69.00 ,0,0,0,0
13572875,51.51164,-0.19329,$326.00 ,0,6,18,218
13615227,51.54696,-0.14229,$250.00 ,0,0,0,0
13573334,51.5,-0.06701,$27.00 ,0,0,0,0
13615234,51.4747,-0.18348,$89.00 ,0,0,0,0
13654459,51.49407,0.07225,$62.00 ,0,0,0,0
13615825,51.41433,-0.31142,$75.00 ,0,0,0,0
13655364,51.55376,-0.03621,$39.00 ,0,0,0,0
13574116,51.45135,-0.21042,$30.00 ,0,0,0,0
13616165,51.44127,-0.21699,$53.00 ,5,35,65,153
13574181,51.43475,-0.05196,$60.00 ,0,0,0,0
13616432,51.44164,-0.20491,$100.00 ,0,0,0,0
13655394,51.47794,-0.11208,$98.00 ,0,0,0,0
13616561,51.52254,-0.10203,$150.00 ,4,34,64,339
13574925,51.53956,-0.09921,$140.00 ,0,0,0,0
13617138,51.49992,-0.06875,$190.00 ,10,18,18,18
13691322,51.4204,-0.20484,$118.00 ,0,0,0,0
13655648,51.56645,-0.07289,$11.00 ,0,0,0,0
13655773,51.50919,-0.33789,$98.00 ,0,0,0,0
13617607,51.49339,-0.03657,$56.00 ,0,0,0,0
13691887,51.54439,-0.08886,$90.00 ,0,0,0,0
13692137,51.5109497,-0.0389072,$250.00 ,6,21,21,21
13692162,51.57595,-0.08725,$22.00 ,0,0,0,0
13656725,51.40831,-0.22796,$41.00 ,0,0,0,0
13618309,51.56599,-0.12532,$30.00 ,0,0,0,0
13618315,51.52589,-0.18466,$79.00 ,0,0,0,0
13656953,51.55316,-0.07585,$26.00 ,0,0,0,0
13657287,51.52787,-0.05642,$90.00 ,0,0,0,0
13692946,51.47943,-0.17009,$99.00 ,1,1,13,78
13618824,51.57944,-0.10239,$59.00 ,0,0,0,0
13657438,51.53728,-0.07827,$99.00 ,0,0,0,0
13619311,51.41609,-0.09918,$55.00 ,7,18,28,91
13657746,51.53901,-0.08022,$200.00 ,0,0,0,0
13658387,51.51699,-0.26426,$75.00 ,0,0,0,0
13693284,51.49472,-0.06818,$40.00 ,0,0,0,0
13693332,51.43752,-0.20417,$200.00 ,0,0,0,0
13619784,51.48086,0.1691,$39.00 ,0,0,0,0
13693711,51.56709,-0.13044,$50.00 ,0,0,0,0
13662352,51.48,-0.01229,$45.00 ,12,33,44,95
13619926,51.50694,-0.23993,$90.00 ,5,7,9,49
13662527,51.43231,-0.17194,$75.00 ,0,0,0,0
13662830,51.49289,-0.11899,$127.29 ,8,20,33,286
13693764,51.5411,0.08214,$106.00 ,16,46,70,152
13694277,51.56317,-0.06024,$32.00 ,0,0,0,0
13620282,51.4504,-0.18322,$150.00 ,0,0,0,0
13620478,51.51312,-0.25497,$29.00 ,0,0,0,0
13694476,51.54494,-0.21039,$65.00 ,0,0,0,0
13620569,51.47069,-0.01757,$35.00 ,0,0,0,0
13662873,51.5882,-0.25154,$100.00 ,5,6,16,272
13621365,51.40837,-0.2017,$30.00 ,0,0,0,0
13694729,51.5436,-0.05647,$90.00 ,0,0,0,0
13662999,51.58798,-0.25128,$91.00 ,0,13,23,298
13621380,51.49654,-0.12037,$100.00 ,0,0,0,0
13695054,51.51162,-0.03152,$40.00 ,0,0,0,0
13622372,51.5732,-0.00397,$179.00 ,0,0,0,0
13663053,51.58782,-0.25328,$96.00 ,0,0,0,266
13622773,51.49204,-0.09831,$125.00 ,0,0,0,105
13663187,51.4483,-0.2003,$36.00 ,0,0,0,0
13695130,51.44108,-0.13257,$34.00 ,0,0,0,0
13695320,51.55927,-0.11451,$26.00 ,0,0,0,0
13627065,51.45826,-0.03445,$50.00 ,0,0,0,0
13695897,51.54567,-0.17314,$39.00 ,0,0,0,0
13663264,51.49228,-0.20883,$314.00 ,3,8,10,98
13627377,51.4482,-0.2128,$100.00 ,0,0,0,0
13627469,51.50402,-0.23129,$650.00 ,0,0,0,0
13664053,51.5112,-0.11883,$70.00 ,0,0,0,0
13696098,51.54385,-0.19559,$75.00 ,0,0,0,0
13627746,51.51072,-0.07632,$189.00 ,0,0,0,0
13696483,51.5149,-0.20643,$20.00 ,0,0,0,0
13696569,51.5788,-0.33446,$40.00 ,0,0,0,0
13696902,51.52913,-0.09217,$77.00 ,0,0,0,0
13664559,51.49773,-0.08432,$78.00 ,0,0,0,0
13664960,51.49269,-0.17192,$180.00 ,0,0,0,0
13664968,51.52081,-0.0717,$160.00 ,16,35,61,253
13665139,51.50557,-0.14739,$195.00 ,5,12,12,12
13628189,51.48845,-0.13758,$400.00 ,22,52,82,357
13665568,51.52565,-0.02438,$65.00 ,0,0,0,0
13628894,51.54868,-0.10657,$76.00 ,0,0,0,0
13665750,51.61281,-0.27794,$91.00 ,0,0,0,0
13697433,51.55183,-0.15892,$170.00 ,0,0,0,0
13629023,51.48694,-0.11745,$24.00 ,0,0,0,0
13699101,51.5552,-0.07467,$65.00 ,0,0,0,0
13629555,51.46206,-0.11826,$150.00 ,0,0,0,0
13703855,51.57532,-0.08203,$50.00 ,3,33,63,338
13665782,51.51525,-0.06349,$51.00 ,0,0,0,0
13629629,51.5739,-0.08182,$39.00 ,0,6,11,215
13666503,51.41656,-0.29374,$85.00 ,0,0,0,0
13704966,51.5591,-0.19899,$60.00 ,0,0,0,0
13630408,51.48206,-0.02016,$35.00 ,0,0,0,0
13630421,51.51482,-0.13436,$190.00 ,0,0,0,0
13630579,51.55344,-0.16837,$65.00 ,0,4,13,16
13630748,51.42558,-0.14889,$280.00 ,6,6,15,76
13705268,51.51508,-0.12369,$125.00 ,0,0,0,0
13667061,51.4712944,-0.173208997,$176.00 ,11,34,64,323
13668457,51.5449,-0.04723,$110.00 ,7,14,44,44
13668721,51.52798,-0.19194,$32.00 ,0,0,0,0
13751234,51.53508,-0.13896,$25.00 ,0,0,0,0
13669680,51.47333,-0.18406,$40.00 ,0,0,0,0
13707499,51.6699,-0.02337,$20.00 ,0,0,0,0
13707865,51.45274,-0.16446,$378.00 ,0,0,0,0
13754210,51.41648,-0.07137,$34.00 ,0,0,0,0
13670366,51.367,-0.16533,$35.00 ,0,0,0,0
13755276,51.50023,-0.22438,$96.00 ,0,0,0,0
13670740,51.51156,-0.06177,$45.00 ,0,0,0,0
13670800,51.53503,-0.11406,$111.00 ,0,0,0,0
13708375,51.4138,-0.19216,$30.00 ,0,0,0,0
13755887,51.46949,-0.07664,$220.00 ,0,0,0,0
13756023,51.45604,0.13884,$60.00 ,0,0,0,0
13708783,51.44978,-0.18984,$64.00 ,0,0,9,9
13756058,51.49513,-0.17377,$350.00 ,9,39,63,78
13709467,51.47368,-0.08398,$130.00 ,0,0,0,26
13709842,51.49382,-0.06513,$75.00 ,0,0,0,0
13710318,51.46024,-0.19758,$160.00 ,28,58,88,363
13670879,51.53361,-0.09986,$80.00 ,0,0,0,0
13756497,51.5918,0.21258,$45.00 ,0,0,0,0
13671064,51.45274,-0.07665,$120.00 ,0,0,0,0
13710391,51.54847,-0.1025,$90.00 ,0,0,0,0
13756776,51.53679,-0.02288,$30.00 ,0,0,0,0
13710399,51.5711,-0.02243,$20.00 ,0,0,0,0
13711102,51.55627,-0.19526,$150.00 ,0,0,0,0
13711407,51.54016,-0.20409,$26.00 ,0,0,0,0
13711723,51.49016,-0.09385,$103.00 ,0,0,0,0
13671947,51.49701,-0.19819,$165.00 ,0,0,0,0
13672092,51.48855,-0.20847,$33.00 ,0,0,0,0
13672324,51.4455,-0.11471,$130.00 ,0,0,0,0
13672328,51.48022,-0.26629,$51.00 ,2,19,49,49
